X,Y,OBJECTID,HealthFacilityIDNumber,FacilityCategory,BusinessName,RiskLevel,FullAddress,AddrNum,StreetName,InspectionType,InspectionResult,DateOfInspection,InspectionIDNumber,ViolationPriority,FoodCodeItem,YearOfInspection,ViolationStatus,ViolationPoints,InspectionScore,ViolationIDNumber,APN,Ward,Neighborhood,Latitude,Longitude,unique_id
-10378262.2143,5617459.1096,1,LIC366861,RESTAURANT,GRADUATE MINNEAPOLIS HOTEL,1,615 WASHINGTON AVE SE,615.0,WASHINGTON,Follow-Up,Complete,2023/01/06 14:30:00+00,3924781,,,2023,,0,100,-1,2502924110010,2.0,University of Minnesota,44.97419,-93.22952,LIC366861
-10378262.2143,5617459.1096,2,LIC366861,RESTAURANT,GRADUATE MINNEAPOLIS HOTEL,1,615 WASHINGTON AVE SE,615.0,WASHINGTON,Follow-Up,Complete,2023/01/06 14:30:00+00,3924781,Priority3,MN Rule 4626.1457,2023,Observed,0,100,831126,2502924110010,2.0,University of Minnesota,44.97419,-93.22952,LIC366861
-10377184.0504,5617349.8082,3,LIC384196,RESTAURANT,LEGENDARY SPICE,1,2501 UNIVERSITY AVE SE,2501.0,UNIVERSITY,Follow-Up,Complete,2023/01/05 16:20:00+00,3924710,,,2023,,0,94,-1,3002923240059,2.0,Prospect Park - East River Road,44.9735,-93.21983,LIC384196
-10377184.0504,5617349.8082,4,LIC384196,RESTAURANT,LEGENDARY SPICE,1,2501 UNIVERSITY AVE SE,2501.0,UNIVERSITY,Follow-Up,Complete,2023/01/05 16:20:00+00,3924710,Priority2,MN Rule 4626.0400A,2023,Observed,2,94,830766,3002923240059,2.0,Prospect Park - East River Road,44.9735,-93.21983,LIC384196
-10377184.0504,5617349.8082,5,LIC384196,RESTAURANT,LEGENDARY SPICE,1,2501 UNIVERSITY AVE SE,2501.0,UNIVERSITY,Follow-Up,Complete,2023/01/05 16:20:00+00,3924710,Priority1,MN Rule 4626.0235A(1),2023,Observed,4,94,830767,3002923240059,2.0,Prospect Park - East River Road,44.9735,-93.21983,LIC384196
-10377184.0504,5617349.8082,6,LIC384196,RESTAURANT,LEGENDARY SPICE,1,2501 UNIVERSITY AVE SE,2501.0,UNIVERSITY,Follow-Up,Complete,2023/01/05 16:20:00+00,3924710,Priority3,MN Rule 4626.0840C,2023,Observed,0,94,830768,3002923240059,2.0,Prospect Park - East River Road,44.9735,-93.21983,LIC384196
-10377184.0504,5617349.8082,7,LIC384196,RESTAURANT,LEGENDARY SPICE,1,2501 UNIVERSITY AVE SE,2501.0,UNIVERSITY,Follow-Up,Complete,2023/01/05 16:20:00+00,3924710,Priority3,MN Rule 4626.0033A,2023,Observed,0,94,830769,3002923240059,2.0,Prospect Park - East River Road,44.9735,-93.21983,LIC384196
-10377184.0504,5617349.8082,8,LIC384196,RESTAURANT,LEGENDARY SPICE,1,2501 UNIVERSITY AVE SE,2501.0,UNIVERSITY,Follow-Up,Complete,2023/01/05 16:20:00+00,3924710,Priority3,MN Rule 4626.1457,2023,Observed,0,94,830771,3002923240059,2.0,Prospect Park - East River Road,44.9735,-93.21983,LIC384196
-10377184.0504,5617349.8082,9,LIC384196,RESTAURANT,LEGENDARY SPICE,1,2501 UNIVERSITY AVE SE,2501.0,UNIVERSITY,Follow-Up,Complete,2023/01/05 16:20:00+00,3924710,Priority3,MN Rule 4626.0845E,2023,Observed,0,94,830772,3002923240059,2.0,Prospect Park - East River Road,44.9735,-93.21983,LIC384196
-10377184.0504,5617349.8082,10,LIC384196,RESTAURANT,LEGENDARY SPICE,1,2501 UNIVERSITY AVE SE,2501.0,UNIVERSITY,Follow-Up,Complete,2023/01/05 16:20:00+00,3924710,Priority3,MN Rule 4626.0495,2023,Observed,0,94,830773,3002923240059,2.0,Prospect Park - East River Road,44.9735,-93.21983,LIC384196
-10383688.8841,5616935.1335,11,LIC359098,RESTAURANT,ANAHNU CHAIM LLC,1,1300 NICOLLET MALL,1300.0,NICOLLET MALL,Routine,Complete,2023/01/03 11:15:00+00,3887747,,,2023,,0,98,-1,2702924241543,7.0,Loring Park,44.97086,-93.27826,LIC359098
-10383688.8841,5616935.1335,12,LIC359098,RESTAURANT,ANAHNU CHAIM LLC,1,1300 NICOLLET MALL,1300.0,NICOLLET MALL,Routine,Complete,2023/01/03 11:15:00+00,3887747,Priority3,MN Rule 4626.0033A,2023,Observed,0,98,802265,2702924241543,7.0,Loring Park,44.97086,-93.27826,LIC359098
-10383688.8841,5616935.1335,13,LIC359098,RESTAURANT,ANAHNU CHAIM LLC,1,1300 NICOLLET MALL,1300.0,NICOLLET MALL,Routine,Complete,2023/01/03 11:15:00+00,3887747,Priority2,MN Rule 4626.0400A,2023,Observed,2,98,802266,2702924241543,7.0,Loring Park,44.97086,-93.27826,LIC359098
-10383688.8841,5616935.1335,14,LIC359098,RESTAURANT,ANAHNU CHAIM LLC,1,1300 NICOLLET MALL,1300.0,NICOLLET MALL,Routine,Complete,2023/01/03 11:15:00+00,3887747,Priority3,MN Rule 4626.0965B,2023,Observed,0,98,832167,2702924241543,7.0,Loring Park,44.97086,-93.27826,LIC359098
-10383688.8841,5616935.1335,15,LIC359098,RESTAURANT,ANAHNU CHAIM LLC,1,1300 NICOLLET MALL,1300.0,NICOLLET MALL,Routine,Complete,2023/01/03 11:15:00+00,3887747,Priority3,MCO 204.30A,2023,Observed,0,98,832168,2702924241543,7.0,Loring Park,44.97086,-93.27826,LIC359098
-10383688.8841,5616935.1335,16,LIC359098,RESTAURANT,ANAHNU CHAIM LLC,1,1300 NICOLLET MALL,1300.0,NICOLLET MALL,Routine,Complete,2023/01/03 11:15:00+00,3887747,Priority3,MN Rule 4626.1375A,2023,Observed,0,98,832169,2702924241543,7.0,Loring Park,44.97086,-93.27826,LIC359098
-10380582.7714,5613351.7786,17,LIC386164,MEAT MARKET,TORTILLERIA & TIENDA LA POBLANITA,1,1617 LAKE ST E,1617.0,LAKE,Follow-Up,Complete,2023/01/10 12:00:00+00,3929671,,,2023,,0,98,-1,0202824110135,9.0,Powderhorn Park,44.94808,-93.25036,LIC386164
-10380582.7714,5613351.7786,18,LIC386164,MEAT MARKET,TORTILLERIA & TIENDA LA POBLANITA,1,1617 LAKE ST E,1617.0,LAKE,Follow-Up,Complete,2023/01/10 12:00:00+00,3929671,Priority2,MN Rule 4626.0400B,2023,Observed,2,98,831464,0202824110135,9.0,Powderhorn Park,44.94808,-93.25036,LIC386164
-10382622.1593,5613280.3166,19,LIC388576,RESTAURANT,KILIMANJARO ENTERPRISES,1,3021 5TH AVE S,3021.0,5TH,Routine,Complete,2023/01/03 10:00:00+00,3887389,,,2023,,0,98,-1,0302824110235,8.0,Central,44.94763,-93.26868,LIC388576
-10382622.1593,5613280.3166,20,LIC388576,RESTAURANT,KILIMANJARO ENTERPRISES,1,3021 5TH AVE S,3021.0,5TH,Routine,Complete,2023/01/03 10:00:00+00,3887389,Priority3,MN Rule 4626.0735AB,2023,Observed,0,98,801425,0302824110235,8.0,Central,44.94763,-93.26868,LIC388576
-10382622.1593,5613280.3166,21,LIC388576,RESTAURANT,KILIMANJARO ENTERPRISES,1,3021 5TH AVE S,3021.0,5TH,Routine,Complete,2023/01/03 10:00:00+00,3887389,Priority3,MN Rule 4626.1565ABD,2023,Observed,0,98,801430,0302824110235,8.0,Central,44.94763,-93.26868,LIC388576
-10382622.1593,5613280.3166,22,LIC388576,RESTAURANT,KILIMANJARO ENTERPRISES,1,3021 5TH AVE S,3021.0,5TH,Routine,Complete,2023/01/03 10:00:00+00,3887389,Priority3,MN Rule 4626.1580AB,2023,Observed,0,98,801436,0302824110235,8.0,Central,44.94763,-93.26868,LIC388576
-10382622.1593,5613280.3166,23,LIC388576,RESTAURANT,KILIMANJARO ENTERPRISES,1,3021 5TH AVE S,3021.0,5TH,Routine,Complete,2023/01/03 10:00:00+00,3887389,Priority3,MN Rule 4626.1520A,2023,Observed,0,98,801437,0302824110235,8.0,Central,44.94763,-93.26868,LIC388576
-10382622.1593,5613280.3166,24,LIC388576,RESTAURANT,KILIMANJARO ENTERPRISES,1,3021 5TH AVE S,3021.0,5TH,Routine,Complete,2023/01/03 10:00:00+00,3887389,Priority3,MN Rule 4626.1457,2023,Observed,0,98,801443,0302824110235,8.0,Central,44.94763,-93.26868,LIC388576
-10382622.1593,5613280.3166,25,LIC388576,RESTAURANT,KILIMANJARO ENTERPRISES,1,3021 5TH AVE S,3021.0,5TH,Routine,Complete,2023/01/03 10:00:00+00,3887389,Priority3,MN Rule 4626.0033A,2023,Observed,0,98,801450,0302824110235,8.0,Central,44.94763,-93.26868,LIC388576
-10382622.1593,5613280.3166,26,LIC388576,RESTAURANT,KILIMANJARO ENTERPRISES,1,3021 5TH AVE S,3021.0,5TH,Routine,Complete,2023/01/03 10:00:00+00,3887389,Priority3,MN Rule 4626.0820A,2023,Observed,0,98,801485,0302824110235,8.0,Central,44.94763,-93.26868,LIC388576
